,Word 1,Word 2,Similarity Score,Ground Truth Score,Predicted Label
0,मोहब्बत,सेक्स,3.13,6.8,0
1,बाघ,बिल्ली,5.34,7.0,0
2,किताब,कागज़,5.47,7.6,0
3,कंप्यूटर,कीबोर्ड,7.68,7.6,1
4,कंप्यूटर,इंटरनेट,8.11,8.0,1
5,विमान,कार,6.37,6.0,1
6,रेलगाड़ी,कार,7.49,6.2,1
7,टेलीफोन,संचार,3.75,7.6,0
8,टेलीविजन,रेडियो,8.02,6.4,1
9,मीडिया,रेडियो,4.97,5.8,0
10,ब्रेड,मक्खन,8.24,6.6,1
11,खीरा,आलू,8.3,5.8,1
12,चिकित्सक,नर्स,7.18,7.6,1
13,प्रोफ़ेसर,चिकित्सक,4.71,4.6,0
14,छात्र,प्रोफ़ेसर,4.46,7.0,0
15,होशियार,छात्र,2.22,5.2,0
16,होशियार,बेवकूफ,6.05,6.2,1
17,किताब,पुस्तकालय,2.88,7.6,0
18,बैंक,पैसे,4.36,8.0,0
19,लकड़ी,जंगल,5.53,7.0,0
20,प्रोफ़ेसर,खीरा,-0.05,0.0,0
21,राजा,रानी,6.62,8.2,1
22,बिशप,रबी,-1.19,7.0,0
23,यरूशलेम,इजराइल,5.51,7.8,0
24,पवित्र,सेक्स,0.98,1.0,0
25,माराडोना,फ़ुटबॉल,7.28,7.8,1
26,फ़ुटबॉल,सॉकर,8.77,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.95,6.4,1
28,फ़ुटबॉल,टेनिस,8.42,5.8,1
29,टेनिस,रैकेट,2.22,7.4,0
30,कानून,वकील,3.84,7.8,0
31,चलचित्र,पॉपकॉर्न,2.44,6.6,0
32,चलचित्र,आलोचक,3.59,6.6,0
33,चलचित्र,थिएटर,5.93,8.4,0
34,पीना,कार,0.14,1.4,0
35,पीना,कान,1.35,0.4,0
36,पीना,मुंह,2.27,7.0,0
37,बच्चा,मां,5.3,7.2,0
38,पीना,मां,1.7,1.8,0
39,मणि,गहना,3.61,6.8,0
40,भट्ठी,स्टोव,7.9,8.4,1
41,भोजन,फल,6.41,6.6,1
42,पक्षी,सारस,8.72,7.4,1
43,भाई,साधु,3.44,1.4,0
44,यात्रा,कार,3.71,6.2,0
45,साधु,गुलाम,2.01,0.2,0
46,कांच,जादूगर,2.27,2.0,0
47,पैसे,मुद्रा,2.74,8.6,0
48,पैसे,धन,6.68,9.2,1
49,पैसे,संपत्ति,4.64,8.4,0
50,पैसे,बैंक,4.36,8.2,0
51,पैसे,जमा,4.15,6.6,0
52,पैसे,ऑपरेशन,1.54,2.6,0
53,बाघ,जैगुआर,2.18,8.0,0
54,बाघ,जानवर,7.37,7.6,1
55,बाघ,चिड़ियाघर,6.23,6.8,1
56,मनोविज्ञान,चिंता,1.66,6.2,0
57,मनोविज्ञान,डर,-0.41,5.2,0
58,मनोविज्ञान,डिप्रेशन,3.73,7.0,0
59,मनोविज्ञान,क्लिनिक,3.09,6.4,0
60,मनोविज्ञान,चिकित्सक,4.53,7.0,0
61,मनोविज्ञान,मन,2.51,7.4,0
62,मनोविज्ञान,स्वास्थ्य,4.3,6.2,0
63,मनोविज्ञान,विज्ञान,7.9,7.0,1
64,मनोविज्ञान,अनुशासन,5.84,4.2,0
