,Word 1,Word 2,Similarity Score,Ground Truth Score,Predicted Label
0,मोहब्बत,सेक्स,4.56,6.8,0
1,बाघ,बिल्ली,7.0,7.0,0
2,किताब,कागज़,6.17,7.6,0
3,कंप्यूटर,कीबोर्ड,7.39,7.6,0
4,कंप्यूटर,इंटरनेट,8.13,8.0,1
5,विमान,कार,7.32,6.0,0
6,रेलगाड़ी,कार,7.45,6.2,0
7,टेलीफोन,संचार,6.05,7.6,0
8,टेलीविजन,रेडियो,8.33,6.4,1
9,मीडिया,रेडियो,6.61,5.8,0
10,ब्रेड,मक्खन,7.84,6.6,0
11,खीरा,आलू,8.78,5.8,1
12,चिकित्सक,नर्स,7.49,7.6,0
13,प्रोफ़ेसर,चिकित्सक,5.75,4.6,0
14,छात्र,प्रोफ़ेसर,5.53,7.0,0
15,होशियार,छात्र,5.04,5.2,0
16,होशियार,बेवकूफ,6.36,6.2,0
17,किताब,पुस्तकालय,5.05,7.6,0
18,बैंक,पैसे,6.15,8.0,0
19,लकड़ी,जंगल,6.19,7.0,0
20,प्रोफ़ेसर,खीरा,0.76,0.0,0
21,राजा,रानी,7.29,8.2,0
22,बिशप,रबी,0.58,7.0,0
23,यरूशलेम,इजराइल,5.91,7.8,0
24,पवित्र,सेक्स,2.6,1.0,0
25,माराडोना,फ़ुटबॉल,8.16,7.8,1
26,फ़ुटबॉल,सॉकर,8.86,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.55,6.4,0
28,फ़ुटबॉल,टेनिस,8.14,5.8,1
29,टेनिस,रैकेट,5.47,7.4,0
30,कानून,वकील,5.81,7.8,0
31,चलचित्र,पॉपकॉर्न,3.78,6.6,0
32,चलचित्र,आलोचक,4.11,6.6,0
33,चलचित्र,थिएटर,6.05,8.4,0
34,पीना,कार,2.72,1.4,0
35,पीना,कान,4.7,0.4,0
36,पीना,मुंह,5.29,7.0,0
37,बच्चा,मां,6.13,7.2,0
38,पीना,मां,3.89,1.8,0
39,मणि,गहना,4.16,6.8,0
40,भट्ठी,स्टोव,7.86,8.4,0
41,भोजन,फल,7.08,6.6,0
42,पक्षी,सारस,8.99,7.4,1
43,भाई,साधु,4.49,1.4,0
44,यात्रा,कार,5.38,6.2,0
45,साधु,गुलाम,3.43,0.2,0
46,कांच,जादूगर,4.56,2.0,0
47,पैसे,मुद्रा,5.65,8.6,0
48,पैसे,धन,7.16,9.2,0
49,पैसे,संपत्ति,6.42,8.4,0
50,पैसे,बैंक,6.15,8.2,0
51,पैसे,जमा,6.22,6.6,0
52,पैसे,ऑपरेशन,3.84,2.6,0
53,बाघ,जैगुआर,4.95,8.0,0
54,बाघ,जानवर,7.79,7.6,0
55,बाघ,चिड़ियाघर,7.32,6.8,0
56,मनोविज्ञान,चिंता,4.21,6.2,0
57,मनोविज्ञान,डर,2.87,5.2,0
58,मनोविज्ञान,डिप्रेशन,5.14,7.0,0
59,मनोविज्ञान,क्लिनिक,5.18,6.4,0
60,मनोविज्ञान,चिकित्सक,6.01,7.0,0
61,मनोविज्ञान,मन,4.59,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.58,6.2,0
63,मनोविज्ञान,विज्ञान,8.35,7.0,1
64,मनोविज्ञान,अनुशासन,6.81,4.2,0
